id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_usaha,proyeksi_jumlah_umkm,satuan,tahun
164,32.0,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,CRAFT,13798,UNIT,2017
165,32.0,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FASHION,13466,UNIT,2017
166,32.0,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KONVEKSI,8223,UNIT,2017
167,32.0,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KULINER,59385,UNIT,2017
168,32.0,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN,43435,UNIT,2017
169,32.0,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MINUMAN,8058,UNIT,2017
170,32.0,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA/LAINNYA,18765,UNIT,2017
171,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AKSESORIS,149,UNIT,2017
172,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BATIK,149,UNIT,2017
173,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BORDIR,21,UNIT,2017
174,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,CRAFT,5323,UNIT,2017
175,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,FASHION,5195,UNIT,2017
176,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KONVEKSI,3172,UNIT,2017
177,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KULINER,22910,UNIT,2017
178,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN,16756,UNIT,2017
179,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MINUMAN,3109,UNIT,2017
180,32.0,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA/LAINNYA,7239,UNIT,2017
181,32.0,JAWA BARAT,3271,KOTA BOGOR,AKSESORIS,214,UNIT,2017
182,32.0,JAWA BARAT,3271,KOTA BOGOR,BATIK,214,UNIT,2017
183,32.0,JAWA BARAT,3271,KOTA BOGOR,BORDIR,31,UNIT,2017
184,32.0,JAWA BARAT,3271,KOTA BOGOR,CRAFT,7628,UNIT,2017
185,32.0,JAWA BARAT,3271,KOTA BOGOR,FASHION,7445,UNIT,2017
186,32.0,JAWA BARAT,3271,KOTA BOGOR,KONVEKSI,4546,UNIT,2017
187,32.0,JAWA BARAT,3271,KOTA BOGOR,KULINER,32832,UNIT,2017
